
| L-01 | VeraCrypt 的许可证条款是否允许"代码混淆+闭源商业销售" | S-006 要求防逆向/代码混淆，但 VeraCrypt 源码沿用 TrueCrypt 遗留许可证（非标准GPL，未被OSI认证，部分模块为Apache 2.0），可能要求衍生品保持源码可获取。若冲突，"闭源商业化"这条路本身不成立 | 找懂开源许可证合规的律师专门审查一遍，逐个模块确认许可证类型 |
| L-02 | 面向的目标客户是谁（个人消费者 / 企业 / 党政机关） | 若涉及企业/机关采购，中国《商用密码管理条例》可能要求密码产品做**型号核准/检测认证**，且很多场景要求用**国密算法（SM2/SM3/SM4）**而非文档里的 AES/Serpent/Twofish | 先确认销售对象，再决定算法选型是否需要调整、是否要走密码产品认证流程 |
| L-03 | "VeraCrypt SDK"是否真实存在 | 官方可能从未发布过独立 SDK/库，只有完整GUI+驱动应用的公开源码。若不存在，需求文档里"使用官方SDK"这个选项形同虚设，只能"直接魔改源码"，工作量比调用现成接口高 | 直接向 VeraCrypt 官方仓库/文档确认现状 |


| 编号 | 问题 | 为什么重要 | 需要确认的事 |
| A-01 | 灾难恢复机制完全缺失 | 忘记PIN、卡损坏、卡丢失 → 数据永久丢失；且备份数据的解密密钥同样绑定原卡根密钥（T-018 明确要求"换卡还原失败"），**连备份这个最后保险也一起失效** | 是否接受"一步错=永久丢失"？还是需要加一个类似BitLocker"恢复密钥"的逃生通道（但会削弱"密钥永不离卡"的安全承诺，需要权衡） |
| A-02 | "似是而非的否认"在自动挂载设计下基本失效 | F-026 要求隐藏卷可否认；F-042/F-043 要求登录后自动挂载所有卷、无需手动输密码。胁迫场景下卡+PIN一旦交出，隐藏卷跟着一起挂载，没有"只交外层"的操作空间 | 是否需要真正的否认性？如果需要，得加一条"仅挂载外层"的次要认证路径 |
| A-03 | PIN 锁定后"联系管理员恢复"——消费级产品没有管理员角色 | T-013 验收标准写"提示联系管理员恢复"，但产品面向个人用户，没有企业IT那种角色。且若卡触发 S-013 物理自毁，管理员也救不回来 | 明确谁是"管理员"，是否需要建一套厂商侧身份验证+解锁服务体系 |
| A-04 | 安全卡是"安全存储"还是"安全运算" | 若只是存储，运算仍在主机内存做，S-004"密钥不能以明文形式暴露在内存"根本无法完全兑现；若具备片上运算能力才能真正做到"根密钥永不离卡" | 找供应商确认卡的真实硬件能力边界 |
| A-05 | 换电脑/重装应用后如何恢复信任关系 | F-004 是应用与卡的一对一绑定，若本地信任状态丢失（重装/换机），要怎么恢复而不触发"重新初始化生成新根密钥"（否则老数据读不出来） | 需要设计一套"重新配对已初始化的卡"流程，区分于"首次初始化" |


| 编号 | 问题 | 为什么重要 | 需要确认的事 |
|---|---|---|---|
| H-01 | 安全卡是否为纯标准 USB HID 协议 | 若是纯HID，Windows自带驱动即可识别，应用层用HID API通信，**完全不需要自研KMDF驱动，也就不需要WHQL认证**——这能砍掉项目里最大的一块周期不确定性（原估4-12周甚至更长） | 直接问卖家：是否需要厂商私有驱动才能做安全通信，还是标准HID传输层即可 |
| H-02 | 卖家能否提供完整通信协议/SDK文档 | 决定是自主开发通信层还是需要逆向 | 采购前索取芯片规格书、通信协议文档 |
| H-03 | 卖家资质与长期供货能力 | 淘宝个体商家渠道，能否保证批量稳定供货、配合WHQL/EV证书认证所需的硬件资质文件 | 核实供应商资质，评估供应链风险 |
| H-04 | 卡是否真的支持"检测暴力破解自动销毁密钥"（S-013） | 这是硬件芯片级特性，软件层无法单独实现，若卡不支持，这条安全需求要么砍掉要么换供应商 | 索取芯片安全认证/规格书确认 |


| 编号 | 问题 | 为什么重要 | 建议验证方式 |
|---|---|---|---|
| V-01 | 模式一（分区类型ID隐藏）分区是否会出现在 VeraCrypt"选择设备"列表里 | 若能，模式一可能免改 VeraCrypt 代码直接可用 | 用已搭建的 VHD 测试环境，`hide-existing` 后装真实 VeraCrypt 实测 |
| V-02 | 模式二（UD隐藏区）VeraCrypt 原生不支持任意LBA偏移量的卷 | 需要额外做一层桥接（虚拟盘驱动 或 改VeraCrypt挂载代码），已确认无法免改动使用 | 已选定方向：写虚拟盘驱动桥接（参考 ImDisk 思路），待排期开发 |
| V-03 | C-007 要求修复 VeraCrypt 在 Win11 24H2/25H2 上的已知 BSOD | 这是让团队去修上游可能还没修好的驱动级bug，具体难度未知 | 先确认该bug是否已有VeraCrypt官方补丁/社区讨论，评估自修的实际工作量 |
| V-04 | C-006 版本兼容区间（1.26.20至最新）是否所有卷格式都兼容 | 需要实测验证，不能只凭版本号假设兼容 | 用不同版本 VeraCrypt 创建卷做兼容性回归测试 |

| 编号 | 问题 | 冲突双方 |
|---|---|---|
| P-01 | PIM 越高越抗暴力破解，但密钥派生越慢 | S安全性 vs P-002"认证到挂载≤5秒" |
| P-02 | 拔卡2秒窗口内若正在写盘，强制落盘（FUA）更安全但更慢 | ST-002数据完整性 vs P-011备份速度 ≥50MB/s |
| P-03 | 备份速度指标未区分本地磁盘/网络存储（NAS）场景 | 网络存储很可能达不到50MB/s，指标本身可能不现实 |
| P-04 | 内存占用 ≤50MB（空闲）对 Qt/WPF 应用偏紧


| 编号 | 问题 |
|---|---|
| G-01 | 隐藏分区/加密卷创建后空间不够，没有扩容/缩容方案 |
| G-02 | F-022"以密文形式传输"密码，主机↔安全卡的会话密钥协商协议未定义（是否用ECDH等） |
| G-03 | F-045暗示可能支持多个隐藏卷，但密钥管理体系（2.1节）都是单数描述，数据结构未设计 |
| G-04 | 增量备份（F-034）需要额外的"脏块跟踪"机制才能真正做到远小于全量——VeraCrypt原生不提供这个能力，需要在I/O路径上加一层过滤驱动，文档里没把这块工作量算进去 |
| G-05 | 备份还原时（F-039）若目标磁盘没有隐藏分区，是否要重新走一遍分区创建流程，文档未说明 |
| G-06 | ST-011要求全量备份支持断点续传，但F-032的全量备份是"解密整卷→重新加密"，这种流程如何定义"断点"未说清楚 |
| G-07 | F-011（分区类型ID恢复为普通类型）和F-053（彻底删除隐藏分区释放空间）语义重叠但操作粒度不同，需要明确边界 |
| G-08 | F-005"已初始化状态检测"的判断依据是什么存储位置，若是本地文件/注册表，容易被篡改或误删导致误判 |
| G-09 | ST-007"多用户账户独立运行"具体指什么场景——USB卡是独占物理资源，多用户同时用一张卡的行为需要澄清 |
| G-10 | 全局快捷键（F-047）在某些高权限窗口覆盖桌面时可能因Windows UIPI隔离机制不触发，边界情况未考虑 |
| G-11 | F-037"备份数据完全随机无特征"与F-041"分卷存储需要文件名/序号标识"之间存在设计张力 |


| 编号 | 问题 |
|---|---|
| T-01 | 驱动/硬件交互代码的单元测试覆盖率 ≥80%（技术约束）用传统工具很难统计，指标对这部分代码不现实 |
| T-02 | PK-013 签名证书存硬件Token/HSM，意味着CI不能自动签名，需要人工插卡环节，会拖慢发布流程，需要专门设计签名SOP |
| T-03 | PK-008"注册Windows硬件开发人员计划"通常要求企业身份，需先确认开发方是否有合规公司实体 |
| T-04 | C-010"不被杀毒软件误报"不是纯开发能保证的，隐藏分区+反调试+内核驱动恰恰是杀软重点标记特征，可能需要长期跟各大厂商打交道甚至申请白名单 |

| 编号 | 问题 |
|---|---|
| D-01 | C-004 是否仍需要支持 x86 32位——Windows 11 官方已不发布32位版本，疑似过时遗留要求 |
| D-02 | C-015"隐藏分区支持NTFS/FAT32/exFAT"——隐藏分区本身直接被VeraCrypt当裸区域用，根本不会格式化文件系统，这条具体指的是什么层面的兼容性，表述需澄清 |
| D-03 | F-006"支持两种隐藏分区模式"，未说明两种是否都要在 v1.0 交付，还是可以先做一种——直接影响工作量是否翻倍 |

